Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
NOC1_6,"Sales and service occupations, except management",Vente et services,94900,96200,97700,98800,99700,99400,99100,98400,97000,95300,93600
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",69800,71600,73800,75300,76100,76200,76500,76600,76100,75100,73900
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",12600,12500,12500,12600,12600,12600,12500,12400,12200,12000,11700
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,24700,25400,26200,26900,27300,27400,27500,27400,27100,26800,26100
00010,Legislators,Membres des corps législatifs,500,400,400,400,400,400,300,300,300,300,300
00011,Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,200,200,200,200,200,200,200,200,200,200,200
00012,"Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",1400,1400,1500,1500,1600,1600,1600,1600,1700,1600,1600
00013,"Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00014,"Senior managers - trade, broadcasting and other services","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00015,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,Financial managers,Directeurs financiers/directrices financières,1500,1600,1700,1800,1800,1900,2000,2000,2000,2000,2000
10011,Human resources managers,Directeurs/directrices des ressources humaines,800,900,1000,1000,1100,1200,1200,1300,1300,1300,1300
10012,Purchasing managers,Directeurs/directrices des achats,400,400,400,400,400,400,500,500,500,500,500
10019,Other administrative services managers,Directeurs/directrices d'autres services administratifs,400,400,400,400,400,400,300,300,300,300,300
10020,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",1200,1100,1100,1200,1200,1200,1200,1100,1100,1100,1100
10021,"Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",1400,1500,1600,1700,1800,1900,1900,1900,1900,1900,2000
10022,"Advertising, marketing and public relations managers","Directeurs/directrices de la publicité, du marketing et des relations publiques",700,700,800,900,900,1000,1000,1000,1100,1100,1100
10029,Other business services managers,Directeurs/directrices d'autres services aux entreprises,700,800,800,700,700,800,800,800,800,800,700
10030,Telecommunication carriers managers,Directeurs/directrices d'entreprises de télécommunications,200,300,300,300,300,300,300,300,300,300,300
11100,Financial auditors and accountants,Vérificateurs/vérificatrices et comptables,4700,4700,4700,4700,4900,5000,5000,5000,5000,5000,5000
11101,Financial and investment analysts,Analystes financiers/analystes financières et analystes en placements,800,900,1000,1000,1100,1100,1100,1100,1100,1100,1200
11102,Financial advisors,Conseillers financiers/conseillères financières,2200,2200,2300,2300,2400,2400,2400,2400,2500,2500,2500
11103,"Securities agents, investment dealers and brokers","Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs",500,500,500,600,600,600,600,600,700,600,600
11109,Other financial officers,Autres agents financiers/agentes financières,600,600,600,700,700,800,800,800,800,800,800
11200,Human resources professionals,Professionnels/professionnelles en ressources humaines,1500,1600,1800,1900,1900,2000,2100,2100,2100,2200,2200
11201,Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises,3500,3400,3500,3500,3500,3500,3500,3500,3500,3400,3300
11202,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques",1900,2000,2000,2100,2200,2200,2300,2300,2300,2400,2400
12010,"Supervisors, general office and administrative support workers",Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,600,700,800,800,800,800,800,800,800,800,800
12011,"Supervisors, finance and insurance office workers",Superviseurs/superviseures de commis de finance et d'assurance,1000,1100,1200,1200,1300,1200,1200,1200,1200,1200,1200
12012,"Supervisors, library, correspondence and related information workers","Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",100,100,100,100,100,100,100,100,100,100,100
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1700,1700,1700,1800,1900,1900,1900,1900,1900,1900,1900
12100,Executive assistants,Adjoints/adjointes de direction,1300,1300,1300,1300,1300,1400,1400,1400,1400,1300,1300
12101,Human resources and recruitment officers,Agents/agentes des ressources humaines et de recrutement,500,500,500,500,500,600,600,600,600,600,600
12102,Procurement and purchasing agents and officers,Agents/agentes en approvisionnement et aux achats,2100,2100,2100,2200,2200,2200,2300,2200,2200,2200,2100
12103,Conference and event planners,Planificateurs/planificatrices de congrès et d'événements,400,400,400,400,400,400,400,400,400,400,400
12104,Employment insurance and revenue officers,Agents/agentes d'assurance-emploi et du revenu,1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400
12110,"Court reporters, medical transcriptionists and related occupations","Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé",400,400,400,400,400,400,400,400,400,300,300
12111,Health information management occupations,Personnel en gestion de l'information sur la santé,100,100,100,100,100,100,100,100,100,100,100
12112,Records management technicians,Techniciens/techniciennes à la gestion des documents,200,300,300,300,300,300,300,300,200,200,200
12113,Statistical officers and related research support occupations,Agents/agentes de statistiques et professions connexes du soutien de la recherche,0,0,0,0,0,0,0,0,0,0,0
12200,Accounting technicians and bookkeepers,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres,7400,7300,7300,7300,7300,7200,7000,6900,6800,6600,6500
12201,Insurance adjusters and claims examiners,Experts/expertes en sinistres et rédacteurs/rédactrices sinistres,700,700,700,800,800,900,900,900,900,900,900
12202,Insurance underwriters,Assureurs/assureures,200,200,300,300,300,300,400,400,300,400,400
12203,"Assessors, business valuators and appraisers","Estimateurs/estimatrices, évaluateurs/évaluatrices d'entreprise et autres évaluateurs/évaluatrices",200,200,200,300,300,300,300,300,300,300,300
13100,Administrative officers,Agents/agentes d'administration,5700,5700,5800,5900,6000,6200,6200,6200,6200,6200,6100
13101,Property administrators,Agents/agentes de gestion immobilière,1600,1600,1600,1600,1600,1500,1500,1400,1400,1300,1300
13102,Payroll administrators,Administrateurs/administratrices de la paye,1600,1600,1600,1700,1600,1600,1700,1700,1600,1600,1600
13110,Administrative assistants,Adjoints administratifs/adjointes administratives,7800,7700,7700,7600,7600,7500,7600,7500,7300,7200,7000
13111,Legal administrative assistants,Adjoints administratifs juridiques/adjointes administratives juridiques,1600,1500,1500,1500,1500,1500,1500,1400,1400,1300,1300
13112,Medical administrative assistants,Adjoints administratifs médicaux/adjointes administratives médicales,2200,2100,2100,2200,2200,2200,2200,2200,2200,2100,2100
13200,"Customs, ship and other brokers","Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières",200,200,200,200,200,200,200,200,200,200,200
13201,Production and transportation logistics coordinators,Coordonnateurs/coordonnatrices de la logistique de la production et du transport,500,500,500,600,600,600,600,600,600,600,600
14100,General office support workers,Employés/employées de bureau - soutien général,3100,3200,3400,3400,3500,3500,3600,3500,3500,3500,3400
14101,Receptionists,Réceptionnistes,3200,3200,3200,3200,3200,3100,3100,3100,3100,3000,2900
14102,Personnel clerks,Commis des services du personnel,100,100,100,100,100,100,100,100,100,100,100
14103,Court clerks and related court services occupations,Commis des services judiciaires et autres professions des services judiciaires,200,200,200,200,200,200,200,200,200,200,200
14110,Survey interviewers and statistical clerks,Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques,300,300,300,300,300,300,300,300,300,300,200
14111,Data entry clerks,Commis à la saisie de données,900,900,900,800,800,800,800,800,800,800,700
14112,Desktop publishing operators and related occupations,Opérateurs/opératrices d'équipement d'éditique et personnel assimilé,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14200,Accounting and related clerks,Commis à la comptabilité et personnel assimilé,4500,4600,4600,4700,4700,4800,4800,4700,4600,4500,4400
14201,"Banking, insurance and other financial clerks","Commis de banque, d'assurance et d'autres services financiers",600,600,600,600,600,600,600,600,600,600,600
14202,Collection clerks,Commis de recouvrement,400,400,400,400,400,400,400,400,400,400,400
14300,Library assistants and clerks,Commis et assistants/assistantes dans les bibliothèques,400,400,400,400,400,400,400,400,400,400,400
14301,"Correspondence, publication and regulatory clerks",Correspondanciers/correspondancières et commis aux publications et aux règlements,400,500,500,500,600,500,500,500,500,500,500
14400,Shippers and receivers,Expéditeurs/expéditrices et réceptionnaires,2800,2900,3000,3000,3000,3000,3000,3000,2900,2900,2800
14401,Storekeepers and partspersons,Magasiniers/magasinières et commis aux pièces,500,500,500,500,500,500,500,500,500,500,500
14402,Production logistics workers,Travailleurs/travailleuses de la logistique de la production,0,0,100,100,100,100,100,100,100,100,100
14403,Purchasing and inventory control workers,Commis aux achats et au contrôle de l'inventaire,500,600,600,600,600,500,600,600,600,600,600
14404,Dispatchers,Répartiteurs/répartitrices,600,700,700,700,700,700,800,700,700,700,700
14405,Transportation route and crew schedulers,Horairistes de trajets et d'équipages,0,0,100,100,100,100,100,100,100,100,100
20010,Engineering managers,Directeurs/directrices des services de génie,1000,1100,1000,1100,1100,1100,1100,1100,1100,1000,1000
20011,Architecture and science managers,Directeurs/directrices des services d'architecture et de sciences,400,400,400,400,400,400,400,400,400,400,400
20012,Computer and information systems managers,Gestionnaires des systèmes informatiques,2000,2000,2200,2200,2400,2400,2500,2600,2700,2600,2600
21100,Physicists and astronomers,Physiciens/physiciennes et astronomes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21101,Chemists,Chimistes,300,300,300,300,300,300,300,300,300,300,300
21102,Geoscientists and oceanographers,Géoscientifiques et océanographes,300,300,300,300,300,300,300,300,300,300,300
21103,Meteorologists and climatologists,Météorologues et climatologues,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21109,Other professional occupations in physical sciences,Autres professionnels/professionnelles des sciences physiques,100,100,100,100,100,100,100,100,100,100,100
21110,Biologists and related scientists,Biologistes et personnel scientifique assimilé,200,200,200,200,300,300,300,300,300,300,300
21111,Forestry professionals,Professionnels/professionnelles des sciences forestières,100,100,100,100,100,100,100,100,100,100,100
21112,"Agricultural representatives, consultants and specialists","Agronomes, conseillers/conseillères et spécialistes en agriculture",100,100,100,100,100,100,100,100,100,100,100
21120,Public and environmental health and safety professionals,Professionnels/professionnelles de la santé et sécurité publique et environnementale,200,200,200,200,200,200,200,200,200,200,200
21200,Architects,Architectes,400,400,400,500,500,400,400,400,400,400,400
21201,Landscape architects,Architectes paysagistes,0,0,0,0,0,0,0,0,0,0,0
21202,Urban and land use planners,Urbanistes et planificateurs/planificatrices de l'utilisation des sols,100,100,100,100,100,100,100,100,100,100,100
21203,Land surveyors,Arpenteurs-géomètres/arpenteuses-géomètres,100,100,100,100,100,100,100,100,100,100,100
21210,"Mathematicians, statisticians and actuaries","Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires",100,200,200,200,200,200,200,200,200,200,200
21211,Data scientists,Scientifiques de données,200,200,200,200,200,200,200,200,200,200,200
21220,Cybersecurity specialists,Spécialistes de la cybersécurité,400,400,500,500,500,600,600,600,600,600,600
21221,Business systems specialists,Spécialistes des systèmes commerciaux,600,700,700,800,900,900,900,900,900,900,900
21222,Information systems specialists,Spécialistes en informatique,6000,6200,6500,6500,6400,6500,6600,6600,6500,6400,6300
21223,Database analysts and data administrators,Analystes de bases de données et administrateurs/administratrices de données,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300
21230,Computer systems developers and programmers,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques,900,900,1000,1000,1000,1100,1100,1100,1100,1100,1100
21231,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel,1000,1200,1200,1300,1400,1400,1400,1400,1400,1500,1500
21232,Software developers and programmers,Développeurs/développeuses et programmeurs/programmeuses de logiciels,1600,1700,1800,1900,1900,2000,2100,2200,2200,2200,2200
21233,Web designers,Concepteurs/conceptrices Web,100,100,100,100,100,100,100,200,200,200,200
21234,Web developers and programmers,Développeurs/développeuses et programmeurs/programmeuses Web,200,200,200,200,200,200,300,300,300,300,300
21300,Civil engineers,Ingénieurs civils/ingénieures civiles,1000,1100,1100,1200,1200,1200,1200,1300,1300,1200,1200
21301,Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes,400,400,500,500,600,600,600,700,700,700,700
21310,Electrical and electronics engineers,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes,500,600,700,800,800,800,800,800,800,800,800
21311,Computer engineers (except software engineers and designers),Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel),400,400,500,500,500,500,600,600,600,600,600
21320,Chemical engineers,Ingénieurs chimistes/ingénieures chimistes,200,200,200,200,200,200,200,200,200,200,200
21321,Industrial and manufacturing engineers,Ingénieurs/ingénieures d'industrie et de fabrication,200,300,300,400,400,400,400,400,400,400,400
21322,Metallurgical and materials engineers,Ingénieurs/ingénieures métallurgistes et des matériaux,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21330,Mining engineers,Ingénieurs miniers/ingénieures minières,100,100,100,100,100,100,100,100,100,100,100
21331,Geological engineers,Ingénieurs/ingénieures géologiques,100,100,100,100,100,100,100,100,100,100,100
21332,Petroleum engineers,Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole,100,100,100,100,200,200,200,200,200,200,200
21390,Aerospace engineers,Ingénieurs/ingénieures en aérospatiale,100,100,100,200,200,200,200,200,200,200,200
21399,Other professional engineers,Autres ingénieurs/ingénieures,500,500,600,600,600,600,600,600,600,600,600
22100,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie,400,400,500,600,600,500,500,500,500,600,600
22101,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie,100,100,100,100,100,100,100,100,200,100,100
22110,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie,0,100,100,100,100,100,100,100,100,100,100
22111,Agricultural and fish products inspectors,Inspecteurs/inspectrices des produits agricoles et de la pêche,0,0,0,0,0,0,100,100,100,100,100
22112,Forestry technologists and technicians,Technologues et techniciens/techniciennes en sciences forestières,100,100,100,100,100,100,100,100,100,100,100
22113,Conservation and fishery officers,Techniciens/techniciennes du milieu naturel et de la pêche,100,100,100,100,100,100,100,100,100,100,100
22114,Landscape and horticulture technicians and specialists,Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture,300,300,300,300,300,300,300,300,300,300,300
22210,Architectural technologists and technicians,Technologues et techniciens/techniciennes en architecture,100,100,100,100,100,100,100,100,100,100,100
22211,Industrial designers,Designers industriels/designers industrielles,100,100,100,100,100,200,200,200,200,200,200
22212,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin,500,500,500,500,500,600,600,600,600,600,600
22213,Land survey technologists and technicians,Technologues et techniciens/techniciennes en arpentage,100,100,100,100,100,100,100,100,100,100,100
22214,Technical occupations in geomatics and meteorology,Personnel technique en géomatique et en météorologie,100,100,100,100,100,100,100,100,100,100,100
22220,Computer network and web technicians,Techniciens/techniciennes de réseau informatique et Web,700,800,900,900,900,1000,1000,1000,1000,1000,1100
22221,User support technicians,Agents/agentes de soutien aux utilisateurs,1800,1800,1900,2100,2100,2100,2100,2200,2200,2200,2300
22222,Information systems testing technicians,Évaluateurs/évaluatrices de systèmes informatiques,100,100,100,100,100,100,100,200,200,200,200
22230,Non-destructive testers and inspectors,Vérificateurs/vérificatrices et inspecteurs/inspectrices des essais non destructifs,200,200,100,100,200,100,100,100,100,100,100
22231,Engineering inspectors and regulatory officers,Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation,200,200,200,200,200,200,200,200,200,200,200
22232,Occupational health and safety specialists,Spécialistes de l'hygiène et de la sécurité au travail,900,900,900,900,800,900,900,900,900,900,900
22233,Construction inspectors,Inspecteurs/inspectrices en construction,700,700,700,700,700,700,700,700,700,700,600
22300,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil,400,400,400,400,400,400,400,400,400,400,400
22301,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique,400,400,400,400,400,400,500,500,500,500,400
22302,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication,500,500,500,500,500,500,500,500,500,500,400
22303,Construction estimators,Estimateurs/estimatrices en construction,500,500,500,500,500,500,500,500,500,500,500
22310,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électrique et électronique,900,900,900,900,800,800,800,800,800,800,800
22311,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux),1300,1300,1200,1300,1300,1200,1200,1200,1200,1200,1100
22312,Industrial instrument technicians and mechanics,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels,100,100,100,100,100,100,100,100,100,100,100
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs",100,100,100,100,100,100,100,100,100,100,100
30010,Managers in health care,Directeurs/directrices des soins de santé,800,800,900,1000,1100,1100,1100,1200,1200,1200,1200
31100,Specialists in clinical and laboratory medicine,Spécialistes en médecine clinique et de laboratoire,700,700,700,700,700,700,700,700,700,800,700
31101,Specialists in surgery,Spécialistes en chirurgie,200,200,200,200,200,200,200,200,200,200,200
31102,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,1600,1600,1600,1600,1600,1600,1600,1600,1600,1500,1500
31103,Veterinarians,Vétérinaires,200,200,200,200,300,300,300,300,300,300,300
31110,Dentists,Dentistes,800,800,800,800,800,800,800,700,700,700,600
31111,Optometrists,Optométristes,300,300,300,300,300,200,200,200,200,200,200
31112,Audiologists and speech-language pathologists,Audiologistes et orthophonistes,200,200,300,300,300,300,300,300,300,300,300
31120,Pharmacists,Pharmaciens/pharmaciennes,700,700,700,700,800,800,900,900,900,900,900
31121,Dietitians and nutritionists,Diététistes et nutritionnistes,200,200,200,200,200,200,300,300,200,300,300
31200,Psychologists,Psychologues,700,700,700,700,700,600,600,600,600,600,600
31201,Chiropractors,Chiropraticiens/chiropraticiennes,200,200,200,200,200,200,200,200,200,200,200
31202,Physiotherapists,Physiothérapeutes,300,300,300,300,300,300,400,400,400,400,400
31203,Occupational therapists,Ergothérapeutes,100,100,100,100,100,100,200,200,200,300,300
31204,Kinesiologists and other professional occupations in therapy and assessment,Kinésiologues et autres professionnels/professionnelles en thérapie et en diagnostic,100,100,100,100,100,100,100,100,100,100,100
31209,Other professional occupations in health diagnosing and treating,Autres professionnels/professionnelles en diagnostic et en traitement de la santé,100,100,100,100,100,100,100,200,200,200,200
31300,Nursing coordinators and supervisors,Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers,600,600,600,700,700,700,700,800,800,800,800
31301,Registered nurses and registered psychiatric nurses,Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées,5200,5300,5600,6000,6100,6200,6400,6600,6600,6600,6600
31302,Nurse practitioners,Infirmiers praticiens/infirmières praticiennes,100,100,100,100,100,100,100,100,100,100,100
31303,"Physician assistants, midwives and allied health professionals","Adjoints au médecin, sages-femmes et professionnels paramédicaux",100,100,100,100,100,100,100,100,100,100,100
32100,Opticians,Opticiens/opticiennes d'ordonnances,300,200,200,200,200,200,200,200,200,300,300
32101,Licensed practical nurses,Infirmiers auxiliaires/infirmières auxiliaires,700,800,900,1000,1000,1000,1000,1100,1100,1100,1100
32102,Paramedical occupations,Personnel ambulancier et paramédical,300,300,300,400,400,400,400,500,500,500,500
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires",100,100,100,100,100,100,200,200,200,200,200
32104,Animal health technologists and veterinary technicians,Technologues en santé animale et techniciens/techniciennes vétérinaires,100,100,100,100,100,100,100,100,100,100,100
32109,Other technical occupations in therapy and assessment,Autre personnel technique en thérapie et en diagnostic,200,300,300,300,300,300,300,300,300,300,300
32110,Denturists,Denturologistes,100,100,100,100,100,100,100,100,100,100,100
32111,Dental hygienists and dental therapists,Hygiénistes et thérapeutes dentaires,200,300,300,300,400,400,400,400,400,400,500
32112,Dental technologists and technicians,Technologues et techniciens/techniciennes dentaires,200,200,200,100,100,100,100,100,100,100,100
32120,Medical laboratory technologists,Technologues de laboratoires médicaux,600,700,700,700,700,600,600,600,600,600,600
32121,Medical radiation technologists,Technologues en radiation médicale,500,500,500,500,500,500,500,600,600,600,600
32122,Medical sonographers,Technologues en échographie,200,200,200,200,200,200,200,200,200,200,200
32123,Cardiology technologists and electrophysiological diagnostic technologists,Technologues en cardiologie et technologues en électrophysiologie diagnostique,100,100,100,100,100,100,100,100,100,100,100
32124,Pharmacy technicians,Techniciens/techniciennes en pharmacie,500,500,500,500,500,600,600,600,600,600,600
32129,Other medical technologists and technicians,Autres technologues et techniciens/techniciennes des sciences de la santé,100,100,100,100,100,100,100,100,100,100,100
32200,Traditional Chinese medicine practitioners and acupuncturists,Praticiens/praticiennes en médecine traditionnelle chinoise et acupuncteurs/acupunctrices,200,200,200,200,200,200,200,200,200,200,200
32201,Massage therapists,Massothérapeutes,500,600,500,600,600,600,700,600,600,600,700
32209,Other practitioners of natural healing,Autres praticiens/praticiennes des médecines douces,200,100,100,100,200,200,200,200,200,200,200
33100,Dental assistants and dental laboratory assistants,Assistants/assistantes dentaires et auxiliaires dans les laboratoires dentaires,400,400,400,400,500,500,500,500,500,600,600
33101,Medical laboratory assistants and related technical occupations,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés,400,400,500,500,600,500,600,600,600,600,600
33102,"Nurse aides, orderlies and patient service associates","Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires",6600,6800,7000,7200,7300,7500,7600,7700,7600,7600,7500
33103,Pharmacy technical assistants and pharmacy assistants,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie,500,600,500,500,500,500,500,500,500,500,500
33109,Other assisting occupations in support of health services,Autre personnel de soutien des services de santé,600,600,600,600,600,600,600,700,700,600,600
40010,Government managers - health and social policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,200,200,300,300,300,300,300,300,300,300,300
40011,"Government managers - economic analysis, policy development and program administration","Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",300,300,300,400,400,400,400,400,400,400,400
40012,Government managers - education policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40019,Other managers in public administration,Autres gestionnaires de la fonction publique,800,900,1000,1000,1100,1100,1100,1100,1100,1100,1100
40020,Administrators - post-secondary education and vocational training,Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle,600,600,600,600,600,600,700,700,700,700,700
40021,School principals and administrators of elementary and secondary education,Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire,800,900,1000,1100,1200,1300,1400,1400,1400,1400,1400
40030,"Managers in social, community and correctional services","Directeurs/directrices des services sociaux, communautaires et correctionnels",1100,1100,1100,1200,1200,1200,1300,1300,1200,1300,1200
40040,Commissioned police officers and related occupations in public protection services,Officiers/officières de direction des services de police et professions connexes des services de la protection du public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40041,Fire chiefs and senior firefighting officers,Chefs et officiers supérieurs/officières supérieures des services d'incendie,100,100,100,100,100,100,100,100,100,100,100
40042,Commissioned officers of the Canadian Armed Forces,Officiers/officières de direction des Forces armées canadiennes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41100,Judges,Juges,200,200,200,200,200,200,200,200,200,200,200
41101,Lawyers and Quebec notaries,Avocats/avocates (partout au Canada) et notaires (au Québec),1700,1700,1700,1700,1700,1700,1700,1800,1800,1800,1800
41200,University professors and lecturers,Professeurs/professeures et chargés/chargées de cours au niveau universitaire,2100,2100,2100,2100,2200,2200,2300,2200,2200,2100,2100
41201,Post-secondary teaching and research assistants,Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire,300,300,400,400,400,400,400,500,500,500,500
41210,College and other vocational instructors,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle,3400,3500,3500,3600,3700,3600,3600,3600,3600,3500,3400
41220,Secondary school teachers,Enseignants/enseignantes au niveau secondaire,3500,3800,4100,4300,4300,4500,4700,4800,4900,4800,4800
41221,Elementary school and kindergarten teachers,Enseignants/enseignantes aux niveaux primaire et préscolaire,5700,6100,6400,6800,7300,7500,7800,8000,8200,8300,8400
