JT_ID,Job_Title,Titre_de_poste,Job_Function,Fonction_professionnelle,Job_Family,Famille_d'emplois,Managerial_Level,Niveau_de_gestion,2016_NOC_UID,2016_NOC_Title,2016_CNP_Titre,2021_NOC_UID,2021_NOC_Title,2021_CNP_Titre,Match_Key,PSES_Subset_Mapping,Job_Bank_GC,NOC match,"Change to ""title"" / ""NOC""",GEDS_adv search - title/contains (where JobBank=n),,Other consideration,Alternate option_Job Title / Consideration,Alt op_JT secondary
27,Director General - Strategic Policy,Directeur(rice) général(e) - Politique stratégique,Administration,Administration,Strategic Policy,Politique stratégique,"Director General, Executive Director or equivalent","Directeur(rice) général(e), Directeur(rice) exécutif(ve) ou équivalent",0012,0012 Senior government managers and officials,0012 Cadres supérieurs / cadres supérieures - administration publique,00011,Senior government managers and officials,Cadres supérieurs / cadres supérieures - administration publique,27,Executive,n,,,n,,,,
28,Business Planner,Planificateur(rice) d'opérations,Administration,Administration,Corporate Administration,Administration ministérielle,Employee,Employé(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,28,Non-supervisor,n,,,y,"n=11, types; Regional, Corporate, Branch, Junior, or Bus Plan & SEM Logistics","termium FR - ""...d'opérations""",,
29,Estate Manager,Majordome,Administration,Administration,Hospitality,De l'accueil ,Employee,Employé(e),6742,"6742 Other service support occupations, n.e.c.","6742 Autre personnel de soutien en service, n.c.a.",65329,Other service support occupations,Autre personnel de soutien en service,29,Non-supervisor,y,y,Estate Manager in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
30,Change Management Officer,Agent(e) de gestion de changement,Administration,Administration,Innovation and Change Management,Gestion de l'innovation et du changement,Employee,Employé(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,30,Non-supervisor,n,,,y,"n=9 , types Jr-, Regional -","GEDS FR - ""Agent(e) de gestion de changement""",,
31,Director General - Travel Services,Directeur(rice) général(e) - Services de voyage,Administration,Administration,Travel Services,Services de voyage,"Director General, Executive Director or equivalent","Directeur(rice) général(e), Directeur(rice) exécutif(ve) ou équivalent",0012,0012 Senior government managers and officials,0012 Cadres supérieurs / cadres supérieures - administration publique,00011,Senior government managers and officials,Cadres supérieurs / cadres supérieures - administration publique,31,Executive,n,,,n,,,,
32,Manager - Administration,Gestionnaire - Administration,Administration,Administration,General Administration,Administration générale,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",32,Supervisor,y,y,"Manager, Administrative Services in Canada | Labour Market Facts and Figures - Job Bank",y,"n=3, types; Snr Mgr Adm & Coord, Mgr Adm & Finances",,,
33,Manager - Administrative Support,Gestionnaire - Soutien administratif,Administration,Administration,Administrative Support,Soutien administratif,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",33,Supervisor,y,y,Administrative Support Services Manager in Canada | Labour Market Facts and Figures - Job Bank,y,"Manager Administrative Support Services / Gestionaire,Services de Soutien Administrative",,,
34,Manager - Corporate Administration,Gestionnaire - Administration d'entreprise,Administration,Administration,Corporate Administration,Administration ministérielle,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",34,Supervisor,n,,,n,,,,
35,Manager - Health Care Administration,Gestionnaire - Administration des soins de santé,Administration,Administration,Health Care Administration,Administration des services de santé,Manager,Gestionnaire,0311,0311 Managers in health care,0311 Directeurs / directrices des soins de santé,30010,Managers in health care,Directeurs / directrices des soins de santé,35,Supervisor,n,,,n,,,,
36,Manager - Hospitality,Gestionnaire - Hospitalité,Administration,Administration,Hospitality,De l'accueil ,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",36,Supervisor,n,,,n,,,,
37,Manager - Innovation and Change Management,Gestionnaire - Innovation et gestion du changement,Administration,Administration,Innovation and Change Management,Gestion de l'innovation et du changement,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",37,Supervisor,n,,,n,,,,
38,Manager - Mail Services,Gestionnaire - Services de courrier,Administration,Administration,Mail Services,Service des postes,Manager,Gestionnaire,0132,0132 Postal and courier services managers,0132 Directeurs / directrices des services postaux et de messageries,70021,Postal and courier services managers,Directeurs / directrices des services postaux et de messageries,38,Supervisor,n,y,"Manager, Mail Operations in Canada | Labour Market Facts and Figures - Job Bank",n,,,,
39,Manager - Program Management,Gestionnaire - Gestion de programmes,Administration,Administration,Program Management,Gestion des programmes,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",39,Supervisor,n,,,n,,,,
40,Manager - Project Management,Gestionnaire - Gestion de projet,Administration,Administration,Project Management,Gestion de projet,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",40,Supervisor,n,,,y,"Manager Project Management Office / Gestionnaire, Bureau de gestion des projets ",,,
41,Manager - Strategic Policy,Gestionnaire - Politique stratégique,Administration,Administration,Strategic Policy,Politique stratégique,Manager,Gestionnaire,0412,"0412 Government managers - economic analysis, policy development and program administration","0412 Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",40011,"Government managers - economic analysis, policy development and program administration","Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",41,Supervisor,n,,,y,"n=47, ESDC driven!!!, one with PSPC",,,
42,Ombudsman,Ombudsman,Administration,Administration,General Administration,Administration générale,"Director General, Executive Director or equivalent","Directeur(rice) général(e), Directeur(rice) exécutif(ve) ou équivalent",0012,0012 Senior government managers and officials,0012 Cadres supérieurs / cadres supérieures - administration publique,00011,Senior government managers and officials,Cadres supérieurs / cadres supérieures - administration publique,42,Executive,y,y,Ombudsperson - Government Services in Canada | Labour Market Facts and Figures - Job Bank,y,"n=18?, types, Associ -, Taxpayers-, ",,,
43,Corporate Assistant,Adjoint(e) corporatif(ive),Administration,Administration,Corporate Administration,Administration ministérielle,Employee,Employé(e),1241,1241 Administrative Assistants,1241 Adjoints administratifs / adjointes administratives,13110,Administrative Assistants,Adjoints administratifs / adjointes administratives,43,Non-supervisor,n,,,y,n=4,,,
44,Corporate Services Analyst,Analyste des services généraux,Administration,Administration,Corporate Administration,Administration ministérielle,Employee,Employé(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,44,Non-supervisor,n,,,n,,,,
45,Corporate Services Officer,Agent(e) des services généraux,Administration,Administration,Corporate Administration,Administration ministérielle,Employee,Employé(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,45,Non-supervisor,n,,,n,,,,
46,Supervisor - Administrative Support,Superviseur(e) - Soutien administratif,Administration,Administration,Administrative Support,Soutien administratif,Supervisor,Superviseur(e),1241,1241 Administrative assistants,1241 Adjoints administratifs / adjointes administratives,13110,Administrative assistants,Adjoints administratifs / adjointes administratives,46,Supervisor,n,,Administrative Services Supervisor in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
47,Supervisor - Hospitality,Superviseur(e) - Hospitalité,Administration,Administration,Hospitality,De l'accueil ,Supervisor,Superviseur(e),1123,"1123 Professional occupations in advertising, marketing and public relations","1123 Professionnels / professionnelles en publicité, en marketing et en relations publiques",10022,"Advertising, marketing and public relations managers","Directeurs / directrices de la publicité, du marketing et des relations publiques",47,Supervisor,n,,,n,,,,
48,Supervisor - Innovation and Change Management,Superviseur(e) - Innovation et gestion du changement,Administration,Administration,Innovation and Change Management,Gestion de l'innovation et du changement,Supervisor,Superviseur(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,48,Supervisor,n,,,n,,,,
49,Supervisor - Strategic Policy,Superviseur(e) - Politique stratégique,Administration,Administration,Strategic Policy,Politique stratégique,Supervisor,Superviseur(e),4164,"4164 Social policy researchers, consultants and program officers","4164 Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques sociales",41403,"Social policy researchers, consultants and program officers","Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques sociales",49,Supervisor,n,,,n,,,,
50,Supervisor - Travel Services,Superviseur(e) - Services de voyage,Administration,Administration,Travel Services,Services de voyage,Supervisor,Superviseur(e),6521,6521 Travel counsellors,6521 Conseillers / conseillères en voyages,62022,"Accommodation, travel, tourism and related services supervisors","Superviseurs / superviseures des services d'hébergement, de voyages, de tourisme et des services connexes",50,Supervisor,n,n - now changed,Travel Clerk Supervisor in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
51,Deputy Minister - Administration,Sous-ministre - Administration,Administration,Administration,General Administration,Administration générale,"Deputy Minister, Associate Deputy Minister or equivalent","Sous-ministre, Sous-ministre délégué(e) ou équivalent",0012,0012 Senior government managers and officials,0012 Cadres supérieurs / cadres supérieures - administration publique,00011,Senior government managers and officials,Cadres supérieurs / cadres supérieures - administration publique,51,Executive,n,y,Deputy Minister in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
52,Manager - Elections,Gestionnaire - Élections,Administration,Administration,Elections,Élections,Manager,Gestionnaire,0114,0114 Other administrative services managers,0114 Directeurs / directrices d'autres services administratifs,10019,Other administrative services managers,"	Directeurs / directrices d'autres services administratifs",52,Supervisor,n,,,n,,,,
53,Director General - Elections,Directeur(rice) général(e) - Élections,Administration,Administration,Elections,Élections,"Director General, Executive Director or equivalent","Directeur(rice) général(e), Directeur(rice) exécutif(ve) ou équivalent",0012,0012 Senior government managers and officials,0012 Cadres supérieurs / cadres supérieures - administration publique,00011,Senior government managers and officials,Cadres supérieurs / cadres supérieures - administration publique,53,Executive,n,,Elections Canada Director in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
54,Director General - Mail Services,Directeur(rice) général(e) - Services du courrier,Administration,Administration,Mail Services,Service des postes,"Director General, Executive Director or equivalent","Directeur(rice) général(e), Directeur(rice) exécutif(ve) ou équivalent",0012,0012 Senior government managers and officials,0012 Cadres supérieurs / cadres supérieures - administration publique,00011,Senior government managers and officials,Cadres supérieurs / cadres supérieures - administration publique,54,Executive,n,,Director General - Government Services in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
55,Election enumerator,Recenseur(euse) aux élections,Administration,Administration,Elections,Élections,Employee,Employé(e),1454,1454 Survey interviewers and statistical clerks,1454 Intervieweurs / intervieweuses pour enquêtes et commis aux statistiques,14110,Survey interviewers and statistical clerks,Intervieweurs / intervieweuses pour enquêtes et commis aux statistiques,55,Non-supervisor,y,y,Election Enumerator in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
56,Elections officer,Fonctionnaire électoral(e),Administration,Administration,Elections,Élections,Employee,Employé(e),4168,4168 Program officers unique to government,4168 Agents / agentes de programmes propres au gouvernement,41407,Program officers unique to government,Agents / agentes de programmes propres au gouvernement,56,Non-supervisor,y,y,Elections Officer in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
57,Event Coordinator,Coordonnateur(rice) d'événements,Administration,Administration,Hospitality,De l'accueil ,Employee,Employé(e),1226,1226 Conference and event planners,1226 Planificateurs / planificatrices de congrès et d'événements,12103,Conference and event planners,Planificateurs / planificatrices de congrès et d'événements,57,Non-supervisor,y,y,Event Coordinator in Canada | Labour Market Facts and Figures - Job Bank,y,"n=31, types, Publi-, Training & -, Engagement &, ",,,
58,Event Planner,Planificateur(rice) d'évènements,Administration,Administration,Hospitality,De l'accueil ,Employee,Employé(e),1226,1226 Conference and event planners,1226 Planificateurs / planificatrices de congrès et d'événements,12103,Conference and event planners,Planificateurs / planificatrices de congrès et d'événements,58,Non-supervisor,y,y,Event Planner in Canada | Labour Market Facts and Figures - Job Bank,y,"n=3, types Snr-, Ev Plan & Coordin",,,
59,Executive Assistant,Adjoint(e) de direction,Administration,Administration,Administrative Support,Soutien administratif,Employee,Employé(e),1222,1222 Executive Assistants,1222 Agents / agentes d'administration,12100,Executive Assistants,Adjoints / adjointes de direction,59,Non-supervisor,y,y,Executive Assistant in Canada | Labour Market Facts and Figures - Job Bank,y,"n=2522, types (not so much)",,,
60,Hospitality Clerk,Commis à l'accueil,Administration,Administration,Hospitality,De l'accueil ,Employee,Employé(e),6552,6552 Other customer and information services representatives,6552 Autres préposés / autres préposées aux services d'information et aux services à la clientèle,64409,Other customer and information services representatives,Autres préposés / autres préposées aux services d'information et aux services à la clientèle,60,Non-supervisor,n,,,n,,,,
61,Hospitality Officer,Agent(e) à l'accueil,Administration,Administration,Hospitality,De l'accueil ,Employee,Employé(e),1123,"1123 Professional occupations in advertising, marketing and public relations","1123 Professionnels / professionnelles en publicité, en marketing et en relations publiques",10022,"Advertising, marketing and public relations managers","Directeurs / directrices de la publicité, du marketing et des relations publiques",61,Non-supervisor,n,,,n,,,,
62,Human Centered Designer,Concepteur(rice) centré sur l'humain,Administration,Administration,Innovation and Change Management,Gestion de l'innovation et du changement,Employee,Employé(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,62,Non-supervisor,n,,Human Factors Engineer in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
63,Innovation and Change Management Analyst,Analyste de l'innovation et de la gestion du changement,Administration,Administration,Innovation and Change Management,Gestion de l'innovation et du changement,Employee,Employé(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,63,Non-supervisor,n,,,n,,,,
64,Innovation and Change Management Researcher,Chercheur(euse) en innovation et gestion du changement,Administration,Administration,Innovation and Change Management,Gestion de l'innovation et du changement,Employee,Employé(e),1122,1122 Professional occupations in business management consulting,1122 Professionnels / professionnelles des services-conseils en gestion aux entreprises,11201,Professional occupations in business management consulting,Professionnels / professionnelles des services-conseils en gestion aux entreprises,64,Non-supervisor,n,,,n,,,,
65,Legal Administrative Assistant,Adjoint(e) administratif(ive) juridique,Administration,Administration,Administrative Support,Soutien administratif,Employee,Employé(e),1242,1242 Legal administrative Assistants,1242 Adjoints administratifs juridiques / adjointes administratives juridiques,13111,Legal administrative Assistants,Adjoints administratifs juridiques / adjointes administratives juridiques,65,Non-supervisor,y,y,Legal Secretary in Canada | Labour Market Facts and Figures - Job Bank,y,,,,
66,Mail Clerk,Commis au courrier,Administration,Administration,Mail Services,Service des postes,Employee,Employé(e),1511,"1511 Mail, postal and related workers",1511 Commis au courrier et aux services postaux et personnel assimilé,64401,Postal services representatives,Représentants / représentantes des services postaux,66,Non-supervisor,y,y,Mail Clerk in Canada | Labour Market Facts and Figures - Job Bank,y,,,,
67,Outreach and Engagement Officer,Agent(e) de sensibilisation et d'engagement,Administration,Administration,Innovation and Change Management,Gestion de l'innovation et du changement,Employee,Employé(e),4166,"4166 Education policy researchers, consultants and program officers","4166 Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de l'enseignement",41405,"Education policy researchers, consultants and program officers","Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de l'enseignement",67,Non-supervisor,n,,,y,,,,
68,Porter,Porteur(euse),Administration,Administration,Hospitality,De l'accueil ,Employee,Employé(e),6721,"6721 Support occupations in accommodation, travel and facilities set-up services","6721 Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",65210,"Support occupations in accommodation, travel and facilities set-up services","Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",68,Non-supervisor,n,y,Facilities Porter in Canada | Labour Market Facts and Figures - Job Bank,n,,,,
